# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jan 20 06:34:56 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
#
pl_name,default_flag,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_ratdor,pl_ratror,st_teff,st_rad,sy_vmag,sy_jmag
AB Pic b,1,,,,4290.50000,13.50000,Mass,,,,,9.1300000,7.5760000
AU Mic b,1,8.46300000,4.070,0.363,17.00000,0.05349,Mass,19.100000,0.04960,3700.00,0.75,8.8100000,5.4360000
AU Mic c,1,18.85901900,3.240,0.289,13.60000,0.04279,Mass,29.000000,0.03950,3700.00,0.75,8.8100000,5.4360000
BD+03 2562 b,1,481.90000000,,,2034.11200,6.40000,Msini,8.640000,,4095.00,32.35,9.5770000,6.9600000
BD+14 4559 b,1,268.94000000,,,330.54320,1.04000,Msini,,,4864.00,0.86,9.7800000,7.8820000
BD+15 2375 b,1,153.22000000,,,337.21763,1.06100,Msini,,,4649.00,8.95,10.4100000,8.3720000
BD+15 2940 b,1,137.48000000,,,352.78000,1.11000,Msini,,,4796.00,14.70,9.0100000,7.1540000
BD+20 2457 b,1,379.63000000,,,17668.16970,55.59000,Msini,,,4259.00,71.02,9.7430000,7.2990000
BD+20 2457 c,1,621.99000000,,,3963.17000,12.47000,Msini,,,4137.00,49.00,9.7430000,7.2990000
BD+20 274 b,1,578.20000000,,,1334.88600,4.20000,Msini,,,4296.00,17.30,9.3670000,7.0030000
BD+20 594 b,1,41.68550000,2.578,0.230,22.24810,0.07000,Mass,55.800000,,5766.00,1.08,10.8490000,9.7700010
BD+45 564 b,1,307.88000000,,,432.24663,1.36000,Msini,,,5004.00,,9.6700000,8.0630000
BD+48 738 b,1,392.60000000,,,289.22530,0.91000,Msini,,,4414.00,11.00,9.1390000,6.7040000
BD+48 740 b,1,733.00000000,,,540.31100,1.70000,Msini,,,4534.00,10.33,8.6900000,6.3850000
BD+49 828 b,1,2590.00000000,,,508.50000,1.60000,Msini,,,4943.00,7.60,9.3810000,7.2460000
BD+55 362 b,1,265.59000000,,,228.83645,0.72000,Msini,,,5012.00,,9.3800000,7.8260000
BD+60 1417 b,1,,14.684,1.310,4767.42610,15.00000,Mass,,,4993.00,0.80,9.3740000,7.8230000
BD+63 1405 b,1,1198.48000000,,,1258.60049,3.96000,Msini,,,5000.00,,8.9600000,7.3030000
BD-00 4475 b,1,723.20000000,,,7961.60160,25.05000,Msini,,,5040.00,,9.0100000,7.4830000
BD-06 1339 b,1,3.87280000,,,8.50000,0.02700,Msini,,,4324.00,,9.7000000,7.1280000
BD-06 1339 c,1,125.94000000,,,53.00000,0.17000,Msini,,,4324.00,,9.7000000,7.1280000
BD-08 2823 b,1,5.60000000,,,12.71320,0.04000,Msini,,,4816.00,0.71,9.8600000,7.9600000
BD-08 2823 c,1,237.60000000,,,104.00000,0.33000,Msini,,,4746.00,,9.8600000,7.9600000
BD-10 3166 b,1,3.48777000,,,187.51970,0.59000,Msini,,,5393.00,0.91,10.0130000,8.6110000
BD-11 4672 b,1,1634.00000000,,,206.58950,0.65000,Msini,,,4550.00,0.64,10.0300000,7.6510000
BD-11 4672 c,1,74.20000000,,,15.37000,0.04836,Msini,,,4550.00,0.64,10.0300000,7.6510000
BD-13 2130 b,1,714.29999000,,,3108.37740,9.78000,Msini,,,4545.00,19.17,10.0380000,7.9400000
BD-17 63 b,1,655.60000000,,,1620.90000,5.10000,Msini,,,4714.00,0.69,9.6200000,7.5740000
CD Cet b,1,2.29070000,,,3.95000,0.01243,Msini,,,3130.00,0.17,13.9500000,8.7750000
CFBDSIR J145829+101343 b,1,10037.50000000,,,3337.10000,10.50000,Mass,,,580.50,,,
CFHTWIR-Oph 98 b,1,8040000.00000000,20.849,1.860,2479.06157,7.80000,Mass,,,2320.00,0.24,,16.7750000
CHXR 73 b,1,,,,3994.48600,12.56900,Mass,,,,,,12.6740000
CI Tau b,1,8.98910000,,,3686.82800,11.60000,Mass,,,,,13.6420000,9.4800000
COCONUTS-2 b,1,402000000.00000000,12.442,1.110,2002.31896,6.30000,Mass,,,3406.00,0.39,11.2980000,7.4060000
CT Cha b,1,,24.660,2.200,5403.00000,17.00000,Mass,,,,,12.3350000,9.7150000
CoRoT-1 b,1,1.50895570,16.700,1.490,327.35000,1.03000,Mass,4.920000,0.13880,5950.00,1.11,13.6230000,12.4620000
CoRoT-10 b,1,13.24060000,10.870,0.970,874.00000,2.75000,Mass,31.330000,0.12690,5075.00,0.79,15.2930000,12.5270000
CoRoT-11 b,1,2.99433000,16.030,1.430,740.51000,2.33000,Mass,6.890000,0.10700,6440.00,1.37,12.8970000,11.5890000
CoRoT-12 b,1,2.82804200,16.140,1.440,291.43800,0.91700,Mass,,,5675.00,1.12,15.5880000,14.0240000
CoRoT-13 b,1,4.03519000,9.920,0.885,415.70400,1.30800,Mass,10.810000,0.09090,5945.00,1.01,15.0050000,13.7100000
CoRoT-14 b,1,1.51214000,12.220,1.090,2415.40000,7.60000,Mass,4.780000,0.09250,6035.00,1.21,15.9320000,14.3210000
CoRoT-16 b,1,5.35227000,13.110,1.170,170.03200,0.53500,Mass,11.200000,0.10100,5650.00,1.19,16.0520000,13.4960000
CoRoT-17 b,1,3.76810000,11.430,1.020,772.29000,2.43000,Mass,6.230000,,5740.00,1.59,16.2900000,13.1740000
CoRoT-18 b,1,1.90006930,14.680,1.310,1102.82000,3.47000,Mass,6.350000,0.13410,5440.00,1.00,14.8680000,13.4410000
CoRoT-19 b,1,3.89713000,14.460,1.290,352.78000,1.11000,Mass,6.700000,0.07860,6090.00,1.65,14.1350000,12.3240000
CoRoT-2 b,1,1.74299350,16.432,1.466,1102.82000,3.47000,Mass,,,5625.00,0.91,12.5160000,10.7830000
CoRoT-20 b,1,9.24285000,,,1366.66900,4.30000,Mass,,,,,14.6300000,12.9910000
CoRoT-20 c,1,1675.00000000,,,5403.11000,17.00000,Msini,,,,,14.6300000,12.9910000
CoRoT-21 b,1,2.72474000,14.572,1.300,718.29580,2.26000,Mass,4.600000,0.06700,6200.00,1.95,16.0580000,14.3400000
CoRoT-22 b,1,9.75598000,4.880,0.435,12.20000,0.03800,Mass,17.300000,0.03927,5939.00,1.14,13.8200000,12.4140000
CoRoT-23 b,1,3.63130000,11.770,1.050,889.90000,2.80000,Mass,6.850000,0.06710,5900.00,1.61,15.6750000,12.9440000
CoRoT-24 b,1,5.11340000,3.700,0.330,5.70000,0.01800,Mass,10.900000,0.03700,4950.00,0.86,15.3830000,13.5950000
CoRoT-24 c,1,11.75900000,5.000,0.440,28.00000,0.08800,Mass,18.000000,0.05000,4950.00,0.86,15.3830000,13.5950000
CoRoT-25 b,1,4.86069000,12.110,1.080,85.81000,0.27000,Mass,10.200000,0.08500,6040.00,1.19,14.7900000,13.3000000
CoRoT-26 b,1,4.20474000,14.120,1.260,165.26000,0.52000,Mass,6.280000,0.07180,5590.00,1.79,15.8610000,13.8130000
CoRoT-27 b,1,3.57532000,11.287,1.007,3302.11000,10.39000,Mass,9.480000,0.09900,5900.00,1.08,15.7740000,13.5710000
CoRoT-28 b,1,5.20851000,10.705,0.955,153.82972,0.48400,Mass,7.290000,0.05510,5150.00,1.78,13.7830000,11.6010000
CoRoT-29 b,1,2.85057000,10.088,0.900,270.15550,0.85000,Mass,9.220000,0.10280,5260.00,0.90,15.4080000,13.5650000
CoRoT-3 b,1,4.25680000,11.320,1.010,6883.91000,21.66000,Mass,7.800000,0.06630,6740.00,1.56,13.4480000,11.9360000
CoRoT-30 b,1,9.06005000,11.310,1.009,921.70700,2.90000,Mass,21.000000,0.11400,5650.00,0.91,15.5710000,14.0190000
CoRoT-31 b,1,4.62941000,16.365,1.460,266.97720,0.84000,Mass,7.200000,0.06990,5700.00,2.15,15.4790000,13.9080000
CoRoT-4 b,1,9.20205000,13.340,1.190,228.83000,0.72000,Mass,17.360000,0.10470,6190.00,1.17,13.6520000,12.6190000
CoRoT-5 b,1,4.03789620,15.558,1.388,148.42000,0.46700,Mass,,,6100.00,1.19,14.0430000,12.8710000
CoRoT-6 b,1,8.88659300,13.068,1.166,940.74000,2.96000,Mass,17.940000,0.11690,6090.00,1.02,13.9610000,12.5180000
CoRoT-7 b,1,0.85359163,1.681,0.150,4.07661,0.01283,Mass,4.260000,,5275.00,0.83,11.7280000,10.3010000
CoRoT-7 c,1,3.69800000,,,8.40000,0.02643,Mass,,,5256.00,0.86,11.7280000,10.3010000
CoRoT-8 b,1,6.21229000,6.390,0.570,69.92000,0.22000,Mass,17.600000,0.07500,5080.00,0.77,14.7920000,12.1540000
CoRoT-9 b,1,95.27265600,11.949,1.066,266.97720,0.84000,Mass,89.900000,0.11402,5625.00,0.96,13.6370000,12.1750000
CoRoTID 223977153 b,1,6.71837000,6.389,0.570,47.67450,0.15000,Mass,,0.05400,5970.00,0.79,13.6260000,12.5190000
DE CVn b,1,4098.10000000,,,3823.27330,12.02930,Msin(i)/sin(i),,,,,12.9560000,9.3920000
DENIS-P J082303.1-491201 b,1,246.36000000,,,9057.77000,28.50000,Mass,,,,,,13.5470000
DH Tau b,1,,,,3496.00000,11.00000,Mass,,,,0.27,13.9800000,9.7670000
DMPP-1 b,1,18.57000000,,,24.27000,0.07636,Msini,,,6196.00,1.26,7.9800000,7.0010000
DMPP-1 c,1,6.58400000,,,9.60000,0.03020,Msini,,,6196.00,1.26,7.9800000,7.0010000
DMPP-1 d,1,2.88200000,,,3.35000,0.01054,Msini,,,6196.00,1.26,7.9800000,7.0010000
DMPP-1 e,1,5.51600000,,,4.13000,0.01299,Msini,,,6196.00,1.26,7.9800000,7.0010000
DMPP-2 b,1,5.20720000,,,138.89171,0.43700,Msini,,,6500.00,1.78,8.5700000,7.7030000
DMPP-3 A b,1,6.67320000,,,2.58000,0.00812,Msini,,,5138.00,0.91,,
DP Leo b,1,10220.00000000,,,1922.79000,6.05000,Msini,,,,,18.6837000,
DS Tuc A b,1,8.13826800,5.700,0.509,,,,20.350000,0.05419,5428.00,0.96,8.1700000,7.1220000
EPIC 201170410.02,1,6.79870000,1.047,0.093,,,,,0.03400,3648.00,0.28,17.6984000,13.4640000
EPIC 201238110 b,1,28.16560000,1.870,0.167,,,,,0.04580,,,16.0140000,12.7590000
EPIC 201427007 b,1,0.72091000,1.500,0.134,,,,3.100000,0.01420,5633.00,0.94,14.3210000,12.9750000
EPIC 201497682 b,1,2.13174000,0.692,0.062,,,,,0.01150,,,13.9480000,12.0860000
EPIC 201595106 b,1,0.87721400,1.300,0.116,,,,5.800000,0.01260,5820.00,0.93,11.7460000,10.5880000
EPIC 201615463 c,1,3.80464000,1.220,0.109,,,,,0.00930,,,12.0810000,10.9520000
EPIC 201754305 d,1,2.71578000,1.030,0.092,,,,,0.01500,,,14.6680000,12.7640000
EPIC 201757695.02,1,2.04780000,0.908,0.081,,,,,0.01270,4520.00,0.66,14.9740000,12.8560000
EPIC 201833600 c,1,3.96151000,1.000,0.089,,,,,0.01680,,,14.7050000,12.4100000
EPIC 201841433 b,1,4.16980000,1.040,0.093,,,,,0.01520,5053.00,0.63,14.9830000,13.0600000
EPIC 205950854 c,1,8.05072200,1.310,0.117,,,,16.180000,0.01258,5502.70,0.83,12.3650000,10.9570000
EPIC 206024342 b,1,4.50756000,1.700,0.152,,,,,0.01470,,,13.0960000,11.8460000
EPIC 206024342 c,1,0.91172400,1.400,0.125,,,,4.700000,0.01170,5724.00,1.10,13.0960000,11.8460000
EPIC 206024342 d,1,14.64753100,2.600,0.232,,,,29.000000,0.02170,5724.00,1.10,13.0960000,11.8460000
EPIC 206032309 b,1,2.87814000,1.010,0.090,,,,,0.04050,,,17.8900000,13.4290000
EPIC 206042996 b,1,5.29711000,1.620,0.145,,,,,0.02940,,,16.5900000,13.9640000
EPIC 206042996 c,1,0.35488400,1.200,0.107,,,,2.600000,0.02230,4114.00,0.50,16.5900000,13.9640000
EPIC 206215704 b,1,2.25372000,0.900,0.080,,,,,0.02250,,,17.8300000,13.5610000
EPIC 206317286 b,1,1.58252000,0.960,0.086,,,,,0.01330,,,14.0050000,12.2580000
EPIC 211822797 b,1,21.17019630,1.920,0.171,,,,44.370000,0.03030,4057.00,0.58,15.1330000,12.2770000
EPIC 211945201 b,1,19.49221000,5.760,0.514,,,,35.630000,0.03790,6069.00,1.39,10.1540000,9.1440000
EPIC 212297394 b,1,2.28936300,1.480,0.132,,,,8.530000,0.01690,5171.00,0.80,14.6110000,12.7350000
EPIC 212297394 c,1,5.21396500,2.270,0.203,,,,14.450000,0.02580,5171.00,0.80,14.6110000,12.7350000
EPIC 212424622 b,1,18.09830000,2.170,0.194,,,,,0.01480,,,13.4410000,12.1010000
EPIC 212499991 b,1,34.88500000,1.600,0.143,,,,,0.01930,,,13.6720000,11.8770000
EPIC 212587672 b,1,15.28078000,1.260,0.112,,,,30.750000,0.01170,6004.00,0.98,12.4880000,11.1810000
EPIC 212587672 c,1,23.22855500,2.320,0.207,,,,50.740000,0.02150,6004.00,0.98,12.4880000,11.1810000
EPIC 212624936 b,1,0.57865700,1.200,0.107,,,,3.000000,0.01140,5765.00,0.93,13.9760000,12.6720000
EPIC 212624936 c,1,11.81143700,2.300,0.205,,,,41.000000,0.02260,5765.00,0.93,13.9760000,12.6720000
EPIC 212737443 b,1,13.60300000,2.586,0.231,,,,31.994000,0.03520,4684.00,0.67,14.8100000,12.8240000
EPIC 212737443 c,1,65.55000000,2.690,0.240,,,,91.172000,0.03660,4684.00,0.67,14.8100000,12.8240000
EPIC 220492298 b,1,0.76240600,0.990,0.088,,,,3.200000,0.01000,5620.00,0.89,13.9910000,12.6100000
EPIC 220554210 c,1,0.70531000,1.480,0.132,,,,,0.01460,,,14.2100000,12.4370000
EPIC 220674823 b,1,0.57133100,1.820,0.162,,,,2.720000,0.01710,5617.00,0.98,12.1010000,10.7700000
EPIC 220674823 c,1,13.33907900,2.730,0.244,,,,27.660000,0.02560,5617.00,0.98,12.1010000,10.7700000
EPIC 228836835 b,1,0.72811300,1.100,0.098,,,,6.400000,0.02990,3782.00,0.32,16.7700000,12.8310000
EPIC 246851721 b,1,6.18023500,11.781,1.051,953.49000,3.00000,Mass,9.800000,0.06810,6202.00,1.59,11.2370000,10.1990000
EPIC 248847494 b,1,3650.00000000,12.442,1.110,4131.79000,13.00000,Mass,,0.04200,4898.00,2.70,12.3530000,10.7650000
EPIC 249893012 b,1,3.59510000,1.950,0.174,8.75000,0.02753,Mass,5.930000,0.01040,5430.00,1.71,11.4290000,10.2160000
EPIC 249893012 c,1,15.62400000,3.670,0.327,14.67000,0.04616,Mass,15.790000,0.01970,5430.00,1.71,11.4290000,10.2160000
EPIC 249893012 d,1,35.74700000,3.940,0.352,10.18000,0.03203,Mass,27.420000,0.02110,5430.00,1.71,11.4290000,10.2160000
FU Tau b,1,,,,5085.28000,16.00000,Mass,,,2838.00,,,10.7810000
G 264-012 b,1,2.30538000,,,2.50000,0.00787,Msini,,,3326.00,0.30,13.0780000,8.8370000
G 264-012 c,1,8.05180000,,,3.75000,0.01180,Msini,,,3326.00,0.30,13.0780000,8.8370000
G 9-40 b,1,5.74600700,2.025,0.181,,,,27.000000,0.06050,3348.00,0.31,13.8210000,10.0580000
GJ 1061 b,1,3.20400000,,,1.37000,0.00431,Msini,,,2953.00,0.16,12.7000000,7.5230000
GJ 1061 c,1,6.68900000,,,1.74000,0.00547,Msini,,,2953.00,0.16,12.7000000,7.5230000
GJ 1061 d,1,13.03100000,,,1.64000,0.00516,Msini,,,2953.00,0.16,12.7000000,7.5230000
GJ 1132 b,1,1.62893100,1.130,0.101,1.66000,0.00522,Mass,,,3270.00,0.21,13.6800000,9.2450000
GJ 1132 c,1,8.92900000,,,2.64000,0.00831,Msini,,,3270.00,0.21,13.6800000,9.2450000
GJ 1148 b,1,41.38000000,,,96.70000,0.30425,Msini,,,3287.00,0.36,11.9390000,7.6080000
GJ 1148 c,1,532.58000000,,,68.06000,0.21414,Msini,,,3287.00,0.36,11.9390000,7.6080000
GJ 1151 b,1,2.01800000,,,2.50000,0.00787,Msini,18.500000,,,,13.7600000,8.4880000
GJ 1214 b,1,1.58040433,2.742,0.245,8.17000,0.02571,Mass,14.850000,,3250.00,0.21,15.1000000,9.7500000
GJ 1252 b,1,0.51823490,1.193,0.106,2.09000,0.00658,Mass,,0.02802,3458.00,0.39,12.6800000,8.6970000
GJ 1265 b,1,3.65110000,,,7.40000,0.02328,Msini,,,3236.00,0.19,14.0100000,8.9550000
GJ 143 b,1,35.61253000,2.610,0.233,22.70000,0.07142,Mass,60.100000,0.03500,4640.00,0.69,8.0800000,6.0810000
GJ 15 A b,1,11.44070000,,,3.03000,0.00953,Msini,,,3607.00,0.38,8.0900000,5.2520000
GJ 15 A c,1,7600.00000000,,,36.00000,0.11327,Msini,,,3607.00,0.38,8.0900000,5.2520000
GJ 160.2 b,1,5.23540000,,,10.20000,0.03209,Msini,,,4347.00,,9.7000000,7.4390000
GJ 163 b,1,8.63182000,,,10.60000,0.03335,Msini,,,,,11.7900000,7.9480000
GJ 163 c,1,25.63058000,,,6.80000,0.02140,Msini,,,,,11.7900000,7.9480000
GJ 163 d,1,603.95116000,,,29.40000,0.09250,Msini,,,,,11.7900000,7.9480000
GJ 179 b,1,2288.00000000,,,260.61000,0.82000,Msini,,,3370.00,0.38,11.9630000,7.8140000
GJ 180 b,1,17.13300000,,,6.49000,0.02042,Msini,,,,,10.9140000,7.4130000
GJ 180 c,1,24.32900000,,,6.40000,0.02014,Msini,,,3371.00,,10.9140000,7.4130000
GJ 180 d,1,106.30000000,,,7.56000,0.02379,Msini,,,,,10.9140000,7.4130000
GJ 2056 b,1,69.97100000,,,16.20000,0.05097,Msini,,,,,10.3700000,7.7040000
GJ 229 A c,1,121.99500000,,,7.26800,0.02287,Msini,,,,,8.1500000,5.1040000
GJ 229 b,1,526.11500000,,,8.47800,0.02667,Msini,,,,,8.1500000,5.1040000
GJ 251 b,1,14.23800000,,,4.00000,0.01259,Msini,,,3451.00,0.36,9.8900000,6.1040000
GJ 27.1 b,1,15.81900000,,,13.00000,0.04090,Msini,,,3542.00,,11.4500000,8.2250000
GJ 273 b,1,18.64980000,,,2.89000,0.00909,Msini,,,3382.00,0.29,9.8400000,5.7140000
GJ 273 c,1,4.72340000,,,1.18000,0.00371,Msini,,,3382.00,0.29,9.8400000,5.7140000
GJ 3021 b,1,133.71000000,,,1071.04000,3.37000,Msini,,,5540.00,0.90,6.5900000,5.3660000
GJ 3082 b,1,11.94900000,,,8.20000,0.02580,Msini,,,,,11.0410000,7.8050000
GJ 3138 b,1,1.22003000,,,1.78000,0.00560,Msini,,,3717.00,0.50,10.8275000,
GJ 3138 c,1,5.97400000,,,4.18000,0.01315,Msini,,,3717.00,0.50,10.8275000,
GJ 3138 d,1,257.80000000,,,10.50000,0.03304,Msini,,,3717.00,0.50,10.8275000,
GJ 317 b,1,695.66000000,,,557.10000,1.75282,Msini,,,,,12.4000000,7.9340000
GJ 317 c,1,6739.32300000,,,522.50000,1.64396,Msini,,,,,12.4000000,7.9340000
GJ 328 b,1,4100.00000000,,,731.00000,2.30000,Msini,,,3900.00,,9.9900000,7.1910000
GJ 3293 b,1,30.59870000,,,23.54000,0.07406,Msini,,,3466.00,0.40,11.9450000,8.3620010
GJ 3293 c,1,122.61960000,,,21.09000,0.06636,Msini,,,3466.00,0.40,11.9450000,8.3620010
GJ 3293 d,1,48.13450000,,,7.60000,0.02391,Msini,,,3466.00,0.40,11.9450000,8.3620010
GJ 3293 e,1,13.25430000,,,3.28000,0.01032,Msini,,,3466.00,0.40,11.9450000,8.3620010
GJ 3323 b,1,5.36360000,,,2.02000,0.00636,Msini,,,3159.00,0.12,12.5700000,7.6170000
GJ 3323 c,1,40.54000000,,,2.31000,0.00727,Msini,,,3159.00,0.12,12.5700000,7.6170000
GJ 3341 b,1,14.20700000,,,6.60000,0.02080,Msini,,,3526.00,0.44,12.0620000,8.5920000
GJ 338 B b,1,24.45000000,,,10.27000,0.03231,Msini,,,4005.00,0.58,7.7000000,4.7790000
GJ 3470 b,1,3.33664960,4.570,0.408,13.90000,0.04373,Mass,13.980000,,3600.00,0.55,12.3320000,8.7940000
GJ 3473 b,1,1.19800350,1.264,0.113,1.86000,0.00585,Mass,9.390000,0.03184,3347.00,0.36,13.7400000,9.6270000
GJ 3473 c,1,15.50900000,,,7.41000,0.02331,Msini,,,3347.00,0.36,13.7400000,9.6270000
GJ 3512 b,1,203.59000000,,,147.15529,0.46300,Msini,,,3081.00,0.14,15.1800000,9.6150000
GJ 357 b,1,3.93072000,1.217,0.109,1.84000,0.00579,Mass,22.310000,0.03310,3505.00,0.34,10.9100000,7.3370000
GJ 357 c,1,9.12470000,,,3.40000,0.01070,Msini,,,3505.00,0.34,10.9100000,7.3370000
